〔Book〕	〔KJVbook｜KJVchapter｜KJVverse〕	〔BHSbook｜BHSchapter｜BHSverse〕
11	〔11｜5｜18〕	〔11｜5｜32〕
11	〔11｜5｜1〕	〔11｜5｜15〕
11	〔11｜5｜2〕	〔11｜5｜16〕
11	〔11｜5｜3〕	〔11｜5｜17〕
11	〔11｜5｜4〕	〔11｜5｜18〕
11	〔11｜5｜5〕	〔11｜5｜19〕
11	〔11｜5｜6〕	〔11｜5｜20〕
11	〔11｜5｜7〕	〔11｜5｜21〕
11	〔11｜5｜8〕	〔11｜5｜22〕
11	〔11｜5｜9〕	〔11｜5｜23〕
12	〔12｜11｜21〕	〔12｜12｜1〕
12	〔12｜12｜10〕	〔12｜12｜11〕
12	〔12｜12｜11〕	〔12｜12｜12〕
12	〔12｜12｜12〕	〔12｜12｜13〕
12	〔12｜12｜13〕	〔12｜12｜14〕
12	〔12｜12｜14〕	〔12｜12｜15〕
12	〔12｜12｜15〕	〔12｜12｜16〕
12	〔12｜12｜16〕	〔12｜12｜17〕
12	〔12｜12｜17〕	〔12｜12｜18〕
12	〔12｜12｜18〕	〔12｜12｜19〕
12	〔12｜12｜19〕	〔12｜12｜20〕
12	〔12｜12｜1〕	〔12｜12｜2〕
12	〔12｜12｜20〕	〔12｜12｜21〕
12	〔12｜12｜21〕	〔12｜12｜22〕
12	〔12｜12｜2〕	〔12｜12｜3〕
12	〔12｜12｜3〕	〔12｜12｜4〕
12	〔12｜12｜4〕	〔12｜12｜5〕
12	〔12｜12｜5〕	〔12｜12｜6〕
12	〔12｜12｜6〕	〔12｜12｜7〕
12	〔12｜12｜7〕	〔12｜12｜8〕
12	〔12｜12｜8〕	〔12｜12｜9〕
12	〔12｜12｜9〕	〔12｜12｜10〕
13	〔13｜12｜10〕	〔13｜12｜11〕
13	〔13｜12｜11〕	〔13｜12｜12〕
13	〔13｜12｜12〕	〔13｜12｜13〕
13	〔13｜12｜13〕	〔13｜12｜14〕
13	〔13｜12｜14〕	〔13｜12｜15〕
13	〔13｜12｜15〕	〔13｜12｜16〕
13	〔13｜12｜16〕	〔13｜12｜17〕
13	〔13｜12｜17〕	〔13｜12｜18〕
13	〔13｜12｜18〕	〔13｜12｜19〕
13	〔13｜12｜19〕	〔13｜12｜20〕
13	〔13｜12｜20〕	〔13｜12｜21〕
13	〔13｜12｜21〕	〔13｜12｜22〕
13	〔13｜12｜22〕	〔13｜12｜23〕
13	〔13｜12｜23〕	〔13｜12｜24〕
13	〔13｜12｜24〕	〔13｜12｜25〕
13	〔13｜12｜25〕	〔13｜12｜26〕
13	〔13｜12｜26〕	〔13｜12｜27〕
13	〔13｜12｜27〕	〔13｜12｜28〕
13	〔13｜12｜28〕	〔13｜12｜29〕
13	〔13｜12｜29〕	〔13｜12｜30〕
13	〔13｜12｜30〕	〔13｜12｜31〕
13	〔13｜12｜31〕	〔13｜12｜32〕
13	〔13｜12｜32〕	〔13｜12｜33〕
13	〔13｜12｜33〕	〔13｜12｜34〕
13	〔13｜12｜34〕	〔13｜12｜35〕
13	〔13｜12｜35〕	〔13｜12｜36〕
13	〔13｜12｜36〕	〔13｜12｜37〕
13	〔13｜12｜37〕	〔13｜12｜38〕
13	〔13｜12｜38〕	〔13｜12｜39〕
13	〔13｜12｜39〕	〔13｜12｜40〕
13	〔13｜12｜40〕	〔13｜12｜41〕
13	〔13｜12｜4〕	〔13｜12｜4〕
13	〔13｜12｜4〕	〔13｜12｜5〕
13	〔13｜12｜5〕	〔13｜12｜6〕
13	〔13｜12｜6〕	〔13｜12｜7〕
13	〔13｜12｜7〕	〔13｜12｜8〕
13	〔13｜12｜8〕	〔13｜12｜9〕
13	〔13｜12｜9〕	〔13｜12｜10〕
13	〔13｜6｜10〕	〔13｜5｜36〕
13	〔13｜6｜11〕	〔13｜5｜37〕
13	〔13｜6｜12〕	〔13｜5｜38〕
13	〔13｜6｜13〕	〔13｜5｜39〕
13	〔13｜6｜14〕	〔13｜5｜40〕
13	〔13｜6｜15〕	〔13｜5｜41〕
13	〔13｜6｜16〕	〔13｜6｜1〕
13	〔13｜6｜17〕	〔13｜6｜2〕
13	〔13｜6｜18〕	〔13｜6｜3〕
13	〔13｜6｜19〕	〔13｜6｜4〕
13	〔13｜6｜1〕	〔13｜5｜27〕
13	〔13｜6｜20〕	〔13｜6｜5〕
13	〔13｜6｜21〕	〔13｜6｜6〕
13	〔13｜6｜22〕	〔13｜6｜7〕
13	〔13｜6｜23〕	〔13｜6｜8〕
13	〔13｜6｜24〕	〔13｜6｜9〕
13	〔13｜6｜25〕	〔13｜6｜10〕
13	〔13｜6｜26〕	〔13｜6｜11〕
13	〔13｜6｜27〕	〔13｜6｜12〕
13	〔13｜6｜28〕	〔13｜6｜13〕
13	〔13｜6｜29〕	〔13｜6｜14〕
13	〔13｜6｜2〕	〔13｜5｜28〕
13	〔13｜6｜30〕	〔13｜6｜15〕
13	〔13｜6｜31〕	〔13｜6｜16〕
13	〔13｜6｜32〕	〔13｜6｜17〕
13	〔13｜6｜33〕	〔13｜6｜18〕
13	〔13｜6｜34〕	〔13｜6｜19〕
13	〔13｜6｜35〕	〔13｜6｜20〕
13	〔13｜6｜36〕	〔13｜6｜21〕
13	〔13｜6｜37〕	〔13｜6｜22〕
13	〔13｜6｜38〕	〔13｜6｜23〕
13	〔13｜6｜39〕	〔13｜6｜24〕
13	〔13｜6｜3〕	〔13｜5｜29〕
13	〔13｜6｜40〕	〔13｜6｜25〕
13	〔13｜6｜41〕	〔13｜6｜26〕
13	〔13｜6｜42〕	〔13｜6｜27〕
13	〔13｜6｜43〕	〔13｜6｜28〕
13	〔13｜6｜44〕	〔13｜6｜29〕
13	〔13｜6｜45〕	〔13｜6｜30〕
13	〔13｜6｜46〕	〔13｜6｜31〕
13	〔13｜6｜47〕	〔13｜6｜32〕
13	〔13｜6｜48〕	〔13｜6｜33〕
13	〔13｜6｜49〕	〔13｜6｜34〕
13	〔13｜6｜4〕	〔13｜5｜30〕
13	〔13｜6｜50〕	〔13｜6｜35〕
13	〔13｜6｜51〕	〔13｜6｜36〕
13	〔13｜6｜52〕	〔13｜6｜37〕
13	〔13｜6｜53〕	〔13｜6｜38〕
13	〔13｜6｜54〕	〔13｜6｜39〕
13	〔13｜6｜55〕	〔13｜6｜40〕
13	〔13｜6｜56〕	〔13｜6｜41〕
13	〔13｜6｜57〕	〔13｜6｜42〕
13	〔13｜6｜58〕	〔13｜6｜43〕
13	〔13｜6｜59〕	〔13｜6｜44〕
13	〔13｜6｜5〕	〔13｜5｜31〕
13	〔13｜6｜60〕	〔13｜6｜45〕
13	〔13｜6｜61〕	〔13｜6｜46〕
13	〔13｜6｜62〕	〔13｜6｜47〕
13	〔13｜6｜63〕	〔13｜6｜48〕
13	〔13｜6｜64〕	〔13｜6｜49〕
13	〔13｜6｜65〕	〔13｜6｜50〕
13	〔13｜6｜66〕	〔13｜6｜51〕
13	〔13｜6｜67〕	〔13｜6｜52〕
13	〔13｜6｜68〕	〔13｜6｜53〕
13	〔13｜6｜69〕	〔13｜6｜54〕
13	〔13｜6｜6〕	〔13｜5｜32〕
13	〔13｜6｜70〕	〔13｜6｜55〕
13	〔13｜6｜71〕	〔13｜6｜56〕
13	〔13｜6｜72〕	〔13｜6｜57〕
13	〔13｜6｜73〕	〔13｜6｜58〕
